,el_kWh,Qh_40_kWh,Qh_60_kWh,Qc_kWh
286,445.148,0,96.128,0
287,390.492,0,69.056,0
288,388.02,0,28.915,0
289,388.013,0,18.059,0
290,388.008,0,20.356,0
291,388.008,0,20.382,0
292,388.009,0,15.809,0
293,435.261,0,125.193,0
294,731.631,443.24,327.157,0
295,1016.491,1628.284,334.171,0
296,1519.968,1473.971,363.516,0
297,1851.076,1180.486,388.235,0
298,2145.53,871.141,368.403,0
299,1827.765,761.173,325.507,0
300,1473.906,448.944,311.96,0
301,1582.528,513.764,340.311,0
302,2150.585,436.781,319.549,0
303,1837.353,500.463,276.22,0
304,1605.259,590.879,241.04,0
305,1018.066,653.214,247.917,0
306,1048.007,85.163,287.404,0
307,1145.194,25.127,287.41,0
308,451.252,367.744,231.103,0
309,446.605,0,182.576,0
310,446.298,0,96.14,0
311,390.407,0,69.06,0
312,388.02,0,28.916,0
313,388.013,0,18.059,0
314,388.008,0,20.35,0
315,388.008,0,20.382,0
316,388.009,0,15.802,0
317,435.191,0,125.175,0
318,724.147,450.489,327.124,0
319,1013.041,1588.485,334.123,0
320,1522.485,1436.636,363.474,0
321,1849.938,1263.659,388.385,0
322,2148.976,988.782,368.643,0
323,1833.431,960.752,325.855,0
324,1467.335,713.74,312.355,0
325,1587.031,701.128,340.729,0
326,2156.4,546.715,319.891,0
327,1832.473,581.136,276.423,0
328,1605.92,651.279,241.158,0
329,1017.109,719.946,248.026,0
330,1048.749,121.637,287.517,0
331,1144.21,47.168,287.537,0
332,451.75,405.255,231.211,0
333,447.128,0,182.677,0
334,445.935,0,96.203,0
335,390.648,0,69.116,0
336,388.02,0,28.094,0
337,388.02,0,30.676,0
338,388.016,0,20.878,0
339,388.008,0,16.301,0
340,388.008,0,16.325,0
341,434.331,0,35.971,0
342,720.893,542.625,93.568,0
343,759.397,768.289,195.369,0
344,717.415,794.998,323.314,0
345,717.879,762.483,327.782,0
346,717.209,722.195,302.581,0
347,719.172,684.907,341.298,0
348,1072.888,271.822,329.927,0
349,775.442,507.528,293.719,0
350,716.483,553.622,224.801,0
351,717.571,556.055,191.351,0
352,715.632,565.211,234.233,0
353,760.207,484.344,300.174,0
354,1047.196,227.098,364.438,0
355,1142.656,139.94,288.422,0
356,451.327,509.671,172.468,0
357,445.961,0,173.633,0
358,445.072,0,124.131,0
359,390.619,0,67.438,0
360,388.023,0,36.385,0
361,388.019,0,27.763,0
362,388.016,0,22.378,0
363,388.008,0,16.093,0
364,388.008,0,16.113,0
365,435.689,0,22.401,0
366,730.965,676.397,63.404,0
367,442.902,897.132,146.346,0
368,392.197,916.438,229.853,0
369,392.234,888.781,302.502,0
370,392.247,850.976,330.302,0
371,392.253,814.301,337.943,0
372,729.856,456.192,266.756,0
373,442.894,609.252,257.557,0
374,392.195,633.448,215.84,0
375,392.181,639.568,194.242,0
376,392.145,652.769,118.779,0
377,440.258,562.474,188.827,0
378,716.402,303.32,251.293,0
379,806.059,208.72,269.826,0
380,437.993,561.496,152.612,0
381,433.632,0,133.47,0
382,434.348,0,124.247,0
383,388.032,0,60.385,0
384,388.02,0,29.024,0
385,388.013,0,18.169,0
386,388.008,0,20.59,0
387,388.008,0,20.614,0
388,388.009,0,15.937,0
389,435.215,0,125.36,0
390,730.53,642.205,327.446,0
391,1017.141,4087.508,348.783,0
392,1523.915,3663.079,364.051,0
393,1853.684,3330.006,389.18,0
394,2156.635,2916.427,369.55,0
395,1840.95,2711.847,326.687,0
396,1479.155,2312.972,313.043,0
397,1587.378,2266.869,341.643,0
398,2155.751,2002.999,321.037,0
399,1842.666,1936.775,277.439,0
400,1613.838,1841.673,241.969,0
401,1021.591,1776.949,248.674,0
402,1055.269,275.894,288.075,0
403,1151.426,187.248,288.114,0
404,451.788,541.582,231.529,0
405,446.763,0,182.926,0
406,445.92,0,96.327,0
407,390.648,0,69.188,0
408,388.02,0,28.992,0
409,388.013,0,18.134,0
410,388.008,0,20.521,0
411,388.008,0,20.542,0
412,388.009,0,15.896,0
413,436.128,0,125.301,0
414,735.315,590.255,327.331,0
415,1018.955,2617.21,334.691,0
416,1527.005,2364.162,363.918,0
417,1855.744,2145.311,388.983,0
418,2153.309,1795.384,369.311,0
419,1839.261,1683.507,326.46,0
420,1480.809,1380.569,312.826,0
421,1590.47,1409.971,341.4,0
422,2158.014,1227.519,320.799,0
423,1842.132,1239.492,277.247,0
424,1616.183,1220.877,241.82,0
425,1022.704,1229.79,248.57,0
426,1049.988,240.549,287.944,0
427,1148.445,134.451,287.917,0
428,452.329,480.611,231.343,0
429,446.721,0,182.744,0
430,446.169,0,96.212,0
431,390.52,0,69.095,0
432,388.02,0,28.928,0
433,388.013,0,18.069,0
434,388.008,0,20.343,0
435,388.008,0,20.353,0
436,388.009,0,15.779,0
437,435.287,0,125.115,0
438,732.769,445.303,326.94,0
439,1015.779,1872.34,334.066,0
440,1524.566,1649.565,363.394,0
441,1857.03,1431.333,388.387,0
442,2154.863,1172.086,368.712,0
443,1839.874,1110.095,325.892,0
444,1478.974,835.388,312.317,0
445,1588.043,910.072,340.821,0
446,2156.92,742.318,320.151,0
447,1835.989,793.253,276.683,0
448,1608.301,803.129,241.318,0
449,1023.507,848.601,248.117,0
450,1055.419,122.551,287.522,0
451,1150.47,38.684,287.522,0
452,451.717,393.916,231.108,0
453,446.456,0,182.578,0
454,445.92,0,96.127,0
455,390.69,0,69.044,0
456,388.02,0,28.903,0
457,388.013,0,18.05,0
458,388.008,0,20.325,0
459,388.008,0,20.35,0
460,388.009,0,15.785,0
461,435.431,0,125.15,0
462,727.172,442.168,327.055,0
463,1015.934,1700.619,334.156,0
464,1525.825,1500.404,363.533,0
465,1850.891,1222.77,388.351,0
466,2149.522,967.199,368.62,0
467,1829.451,866.024,325.731,0
468,1462.443,541.133,312.087,0
469,1577.299,557.796,340.43,0
470,2144.922,441.929,319.669,0
471,1831.66,513.202,276.31,0
472,1604.984,558.763,241.074,0
473,1020.456,665.77,247.969,0
474,1046.717,80.865,287.392,0
475,1141.483,21.109,287.388,0
476,450.612,350.963,231.022,0
477,445.616,0,182.5,0
478,445.871,0,96.086,0
479,390.69,0,69.012,0
480,388.02,0,28.882,0
481,388.013,0,18.02,0
482,388.008,0,20.247,0
483,388.008,0,20.274,0
484,388.009,0,15.733,0
485,435.5,0,125.078,0
486,727.18,369.51,326.903,0
487,1019.721,1457.17,333.878,0
488,1525.492,1304.18,363.351,0
489,1848.187,1192.372,388.478,0
490,2146.518,980.045,368.828,0
491,1825.353,964.005,326.054,0
492,1474.696,707.35,312.498,0
493,1583.68,817.594,341.031,0
494,2146.797,699.319,320.374,0
495,1827.074,741.727,276.859,0
496,1604.74,750.441,241.478,0
497,1022.244,790.54,248.24,0
498,1060.617,131.938,287.66,0
499,1156.263,44.749,287.667,0
500,450.556,415.096,231.227,0
501,445.936,0,182.678,0
502,445.276,0,96.192,0
503,390.591,0,69.098,0
504,388.02,0,28.077,0
505,388.02,0,30.656,0
506,388.016,0,20.851,0
507,388.008,0,16.25,0
508,388.008,0,16.265,0
509,435.313,0,35.93,0
510,730.44,482.323,93.491,0
511,759.653,717.778,195.238,0
512,716.674,728.839,323.027,0
513,717.99,665.453,327.4,0
514,717.664,591.303,302.118,0
515,717.159,485.631,340.559,0
516,1071.955,75.848,329.202,0
517,774.017,349.152,293.11,0
518,716.26,450.695,224.446,0
519,716.123,476.622,191.124,0
520,714.181,479.395,233.988,0
521,760.832,396.533,299.898,0
522,1052.728,130.784,364.071,0
523,1156.41,45.756,288.117,0
524,451.826,421.625,172.267,0
525,446.887,0,173.405,0
526,445.575,0,123.96,0
527,390.548,0,67.326,0
528,388.023,0,36.319,0
529,388.019,0,27.712,0
530,388.016,0,22.334,0
531,388.008,0,16.032,0
532,388.008,0,16.06,0
533,435.02,0,22.374,0
534,722.873,612.734,63.39,0
535,441.206,837.679,146.316,0
536,392.197,861.045,229.832,0
537,392.234,840.142,302.497,0
538,392.247,803.538,330.311,0
539,392.253,773.377,337.988,0
540,742.305,407.634,266.794,0
541,446.952,645.422,257.725,0
542,392.195,688.292,216.035,0
543,392.181,700.175,194.446,0
544,392.145,692.633,118.903,0
545,440.507,608.664,189.023,0
546,722.321,365.306,251.568,0
547,816.383,273.688,270.138,0
548,438.658,644.601,152.819,0
549,434.145,0,133.615,0
550,434.664,0,124.384,0
551,388.032,0,60.468,0
552,388.02,0,29.089,0
553,388.013,0,18.243,0
554,388.008,0,20.773,0
555,388.008,0,20.805,0
556,388.009,0,16.059,0
557,435.095,0,125.565,0
558,721.258,798.806,327.873,0
559,1020.197,4667.342,349.401,0
560,1532.879,4196.445,364.674,0
561,1857.227,3603.105,389.632,0
562,2151.536,2986.545,369.78,0
563,1832.859,2628.089,326.752,0
564,1471.309,2129.73,312.992,0
565,1589.392,2044.307,341.547,0
566,2151.465,1781.749,320.963,0
567,1835.736,1758.036,277.422,0
568,1606.284,1743.514,242.052,0
569,1022.477,1801,248.876,0
570,1047.692,307.516,288.298,0
571,1144.399,212.184,288.308,0
572,450.793,572.533,231.682,0
573,446,0,183.088,0
574,445.825,0,96.439,0
