,hs,dhw,cs,el
352,678.135,177.222,0,595.015
353,592.391,225.826,0,636.788
354,276.864,283.508,0,932.025
355,193.98,229.316,0,1017.945
356,548.332,165.101,0,423.358
357,0,186.493,0,424.502
358,0,105.4,0,434.528
359,0,61.883,0,357.961
360,0,27.865,0,346.465
361,0,21.945,0,346.461
362,0,18.479,0,346.458
363,0,17.551,0,346.453
364,0,17.564,0,346.453
365,0,18.491,0,394.744
366,666.03,47.127,0,690.759
367,918.457,109.865,0,401.732
368,933.46,172.671,0,351.229
369,854.397,226.131,0,351.256
370,748.952,246.295,0,351.267
371,682.085,251.417,0,351.268
372,242.319,195.339,0,686.176
373,450.918,192.547,0,404.37
374,470.263,162.404,0,351.226
375,466.709,146.62,0,351.218
376,506.321,91.262,0,351.189
377,416.835,140.553,0,401.413
378,93.286,187.982,0,683.927
379,8.605,201.527,0,790.012
380,369.06,115.913,0,400.01
381,0,100.158,0,394.15
382,0,93.437,0,393.026
383,0,44.816,0,346.471
384,0,22.644,0,346.461
385,0,16.048,0,346.456
386,0,24.675,0,346.451
387,0,24.7,0,346.451
388,0,16.94,0,346.453
389,0,92.094,0,394.171
390,403.049,239.903,0,677.298
391,5203.498,263.948,0,904.641
392,4425.419,286.89,0,1412.903
393,3855.876,315.437,0,1731.676
394,3199.675,301.101,0,2037.622
395,2970.721,273.284,0,1725.141
396,2563.161,253.743,0,1377.815
397,2393.418,276.809,0,1488.621
398,1875.23,262.355,0,2030.712
399,1838.926,223.142,0,1710.637
400,1797.403,203.096,0,1490.99
401,1918.135,200.263,0,912.922
402,95.577,222.223,0,942.357
403,26.719,221.585,0,1037.168
404,381.666,181.968,0,425.951
405,0,149.758,0,425.787
406,0,76.978,0,436.766
407,0,54.946,0,358.261
408,0,22.675,0,346.461
409,0,16.079,0,346.456
410,0,24.757,0,346.451
411,0,24.779,0,346.451
412,0,16.977,0,346.453
413,0,92.145,0,393.597
414,421.466,239.994,0,689.679
415,2986.986,253.161,0,911.809
416,2424.715,286.93,0,1414.164
417,1927.577,315.354,0,1732.322
418,1381.013,300.89,0,2028.744
419,1136.668,272.91,0,1716.569
420,847.876,253.387,0,1372.108
421,878.918,276.409,0,1477.814
422,793.415,262.05,0,2015.821
423,877.367,222.988,0,1705.833
424,884.901,202.997,0,1484.486
425,1000.664,200.225,0,908.933
426,71.32,222.12,0,942.642
427,13.459,221.408,0,1035.423
428,338.804,181.838,0,425.142
429,0,149.615,0,425.362
430,0,76.871,0,435.664
431,0,54.853,0,358.073
432,0,22.627,0,346.461
433,0,16.022,0,346.456
434,0,24.583,0,346.451
435,0,24.608,0,346.451
436,0,16.876,0,346.453
437,0,92.019,0,393.886
438,315.312,239.754,0,679.2
439,1850.795,252.787,0,909.215
440,1420.089,286.663,0,1413.145
441,1189.956,315.089,0,1735.405
442,880.147,300.679,0,2029.33
443,819.299,272.867,0,1719.621
444,543.835,253.396,0,1369.168
445,668.971,276.444,0,1482.612
446,518.071,261.939,0,2015.116
447,575.111,222.82,0,1707.803
448,579.693,202.817,0,1488.108
449,651.966,200.054,0,904.762
450,39.825,221.979,0,937.525
451,4.81,221.29,0,1033.062
452,315.16,181.775,0,423.939
453,0,149.577,0,424.457
454,0,76.863,0,434.179
455,0,54.856,0,357.9
456,0,22.637,0,346.461
457,0,16.038,0,346.456
458,0,24.662,0,346.451
459,0,24.691,0,346.451
460,0,16.933,0,346.453
461,0,92.095,0,394.53
462,375.303,239.916,0,678.854
463,1669.825,253.007,0,906.445
464,1400.935,286.849,0,1408.69
465,996.252,315.031,0,1727.889
466,550.28,300.347,0,2022.994
467,422.49,272.374,0,1710.025
468,204.157,252.838,0,1362.094
469,191.344,275.722,0,1471.715
470,216.55,261.103,0,2002.002
471,245.726,222.159,0,1693.879
472,279.168,202.354,0,1465.469
473,341.512,199.759,0,897.558
474,2.602,221.639,0,933.661
475,0,220.911,0,1024.963
476,201.853,181.491,0,423.164
477,0,149.304,0,425.403
478,0,76.681,0,437.296
479,0,54.701,0,358.329
480,0,22.545,0,346.461
481,0,15.925,0,346.456
482,0,24.331,0,346.451
483,0,24.35,0,346.451
484,0,16.728,0,346.453
485,0,91.856,0,393.217
486,110.187,239.434,0,692.935
487,862.615,252.252,0,901.219
488,740.915,286.222,0,1397.295
489,580.121,314.613,0,1721.33
490,443.184,300.225,0,2018.835
491,418.393,272.459,0,1703.599
492,200.788,253.032,0,1362.185
493,288.727,276.031,0,1471.39
494,299.052,261.481,0,1992.165
495,326.34,222.443,0,1690.443
496,315.815,202.46,0,1464.713
497,326.784,199.748,0,892.816
498,0.821,221.657,0,935.655
499,0,220.954,0,1039.832
500,208.702,181.552,0,423.441
501,0,149.361,0,424.492
502,0,76.719,0,435.376
503,0,54.743,0,358.611
504,0,22.02,0,346.461
505,0,23.784,0,346.462
506,0,17.479,0,346.458
507,0,18.037,0,346.453
508,0,18.083,0,346.453
509,0,27.503,0,394.048
