Name,hs,dhw,hs_and_dhw,cs,el
B2828,7.358,1.102,8.459999999999999,0.0,2.664
B2196,119.898,5.547,125.445,0.0,9.821
B3288,21.163,0.966,22.129,0.0,2.276
B1110,76.318,2.399,78.717,0.0,22.106
B3707,14.341,0.916,15.257,0.0,1.867
B4068,37.097,0.581,37.678000000000004,0.0,11.269
B2419,0.0,0.0,0.0,0.0,0.255
B3061,179.213,5.308,184.521,0.0,9.747
B1676,52.699,1.259,53.958,0.0,3.085
B1662,77.359,4.682,82.041,0.0,8.439
B3075,53.413,4.28,57.693,0.0,7.502
B3713,43.747,0.927,44.674,0.0,1.902
B1104,49.47,0.96,50.43,0.0,2.288
B4054,0.0,0.0,0.0,0.0,0.044
B2425,75.477,4.56,80.037,0.0,7.831
B1892,88.152,3.2,91.352,0.0,5.27
B2343,70.473,3.608,74.081,0.0,6.335
B2357,39.847,5.193,45.04,0.0,9.435
B3049,0.0,0.0,0.0,0.0,0.078
B1886,128.337,12.302,140.63899999999998,0.0,24.24
B1138,33.876,1.001,34.876999999999995,0.0,1.875
B4040,25.743,3.815,29.558,0.0,6.462
B2431,10.783,0.306,11.088999999999999,0.0,3.204
B1879,39.866,10.778,50.644,0.0,4.181
B3908,39.82,6.572,46.392,0.0,13.32
B3920,146.084,6.3,152.38400000000001,0.0,10.932
B4097,178.811,3.933,182.744,0.0,8.012
B2380,92.561,4.237,96.798,0.0,7.269
B1689,63.52,2.24,65.76,0.0,3.423
B1851,44.156,1.034,45.19,0.0,2.581
B1845,52.196,1.501,53.696999999999996,0.0,4.41
B2394,56.83,1.194,58.024,0.0,14.945
B3934,0.0,0.0,0.0,0.0,0.41
B4083,0.0,0.0,0.0,0.0,0.06
B1064,73.796,1.298,75.09400000000001,0.0,3.464
B3673,13.183,0.957,14.14,0.0,2.163
B3115,0.0,0.0,0.0,0.0,0.043
B1702,107.421,4.473,111.894,0.0,7.804
B1716,46.913,1.355,48.267999999999994,0.0,3.982
B3101,10.013,0.228,10.241,0.0,3.023
B2579,307.109,6.757,313.866,0.0,62.232
B3667,48.827,11.067,59.894,0.0,23.115
B1070,45.104,1.061,46.165,0.0,2.502
B2551,45.52,2.995,48.515,0.0,4.901
B3897,96.838,3.295,100.133,0.0,5.586
B4120,31.298,4.856,36.153999999999996,0.0,8.252
B1058,33.557,1.186,34.743,0.0,2.743
B3129,196.564,7.337,203.90099999999998,0.0,14.07
B2237,26.944,1.185,28.128999999999998,0.0,2.077
B2223,158.674,18.778,177.452,0.0,37.829
B2545,15.227,2.274,17.501,0.0,4.044
B3883,70.6,13.291,83.89099999999999,0.0,27.721
B4134,151.942,6.281,158.223,0.0,10.864
B3868,0.0,0.0,0.0,0.0,0.238
B1919,47.09,7.078,54.168000000000006,0.0,14.418
B2592,73.729,9.921,83.65,0.0,20.877
B3854,0.0,0.0,0.0,0.0,0.309
B1925,95.042,3.975,99.017,0.0,7.042
B1931,83.089,12.354,95.443,0.0,25.41
B3698,18.88,0.88,19.759999999999998,0.0,1.77
B2586,39.429,5.732,45.161,0.0,10.316
B3840,101.745,5.13,106.875,0.0,9.094
B1500,0.0,0.0,0.0,0.0,1.678
B2009,94.892,9.746,104.63799999999999,0.0,16.444
B3317,0.0,0.0,0.0,0.0,0.154
B1266,48.97,0.999,49.969,0.0,2.276
B1272,187.291,7.813,195.10399999999998,0.0,15.197
B3303,1000.032,21.841,1021.873,0.0,261.926
B1514,64.125,3.605,67.73,0.0,6.37
B2035,62.904,2.907,65.811,0.0,4.927
B2753,62.478,3.613,66.09100000000001,0.0,6.161
B2747,95.087,5.449,100.536,0.0,16.437
B1528,39.609,0.998,40.607,0.0,2.017
B2021,90.916,10.254,101.17,0.0,19.894
B2974,61.003,5.294,66.297,0.0,9.126
B2960,31.567,1.223,32.79,0.0,2.89
B2790,9.388,0.744,10.132,0.0,2.141
B2948,0.0,0.0,0.0,0.0,0.254
B1299,246.81,9.749,256.559,0.0,19.56
